ID,Month,Day,Year,CaptureTime,ReleaseTime,BandNumber,Species,Age,Sex,Wing,Weight,Culmen,Hallux,Tail,CaptureDateTime
1,9,19,1992,13:30,NA,877-76317,RT,I,U,385,920,25.7,30.1,219,1992-09-19T13:30:00Z
3,9,23,1992,12:45,NA,877-76319,RT,I,U,381,990,26.7,31.3,235,1992-09-23T12:45:00Z
4,9,23,1992,10:50,NA,745-49508,CH,I,F,265,470,18.7,23.5,220,1992-09-23T10:50:00Z
5,9,27,1992,11:15,NA,1253-98801,SS,I,F,205,170,12.5,14.3,157,1992-09-27T11:15:00Z
6,9,28,1992,11:25,NA,1207-55910,RT,I,U,412,1090,28.5,32.2,230,1992-09-28T11:25:00Z
7,9,28,1992,13:30,NA,877-76320,RT,I,U,370,960,25.3,30.1,212,1992-09-28T13:30:00Z
8,9,29,1992,11:45,NA,877-76321,RT,A,U,375,855,27.2,30,243,1992-09-29T11:45:00Z
9,9,29,1992,15:35,NA,877-76322,RT,A,U,412,1210,29.3,31.3,210,1992-09-29T15:35:00Z
10,9,30,1992,13:45,NA,1207-55911,RT,I,U,405,1120,26,30.2,238,1992-09-30T13:45:00Z
11,10,5,1992,13:30,NA,877-76323,RT,I,U,393,1010,26.3,30.8,222,1992-10-05T13:30:00Z
12,10,8,1992,13:45,NA,877-76324,RT,I,U,371,1010,25.4,29.7,217,1992-10-08T13:45:00Z
13,10,9,1992,12:30,NA,877-76325,RT,A,U,390,1120,28.9,30.9,213,1992-10-09T12:30:00Z
15,10,11,1992,11:00,NA,1207-55912,RT,I,U,416,1170,26.5,34,243,1992-10-11T11:00:00Z
16,10,11,1992,11:45,NA,1207-55913,RT,A,U,436,1390,30.5,34,232,1992-10-11T11:45:00Z
17,10,11,1992,12:40,NA,877-76326,RT,I,U,418,1150,27.1,31,238,1992-10-11T12:40:00Z
18,10,11,1992,14:20,NA,877-76327,RT,A,U,381,950,28.9,28.9,202,1992-10-11T14:20:00Z
19,10,12,1992,13:40,NA,877-76328,RT,I,U,378,910,25.7,28.2,227,1992-10-12T13:40:00Z
20,10,13,1992,11:00,NA,877-76329,RT,I,U,396,1010,24,26.9,227,1992-10-13T11:00:00Z
21,10,13,1992,14:50,NA,877-76330,RT,I,U,399,1070,26.4,31.2,222,1992-10-13T14:50:00Z
22,10,14,1992,13:15,NA,877-76331,RT,I,U,416,1190,28.8,31.6,237,1992-10-14T13:15:00Z
23,10,17,1992,12:10,NA,877-76332,RT,I,U,415,101,24.9,30.7,238,1992-10-17T12:10:00Z
24,10,22,1992,13:05,NA,877-76333,RT,A,U,392,1330,27,30.3,213,1992-10-22T13:05:00Z
25,10,23,1992,11:45,NA,877-76334,RT,I,U,380,990,26,30,211,1992-10-23T11:45:00Z
27,10,24,1992,14:35,NA,877-76335,RT,I,U,399,1100,26.2,32.5,190,1992-10-24T14:35:00Z
28,10,25,1992,12:05,NA,1207-55914,RT,A,U,401,1190,28.6,31.6,245,1992-10-25T12:05:00Z
29,10,27,1992,10:05,NA,1253-98802,SS,I,F,205,180,11.7,15,164,1992-10-27T10:05:00Z
30,10,27,1992,10:45,NA,608-48703,RT,I,U,427,1490,30.1,32.4,246,1992-10-27T10:45:00Z
31,10,27,1992,15:15,NA,1207-55915,RT,A,U,395,1040,27.1,31.4,207,1992-10-27T15:15:00Z
32,10,30,1992,11:05,NA,877-76336,RT,I,U,362,820,24.9,27.9,209,1992-10-30T11:05:00Z
33,11,3,1992,10:15,NA,1207-55916,RT,A,U,396,1030,26,29.7,200,1992-11-03T10:15:00Z
34,11,8,1992,11:45,NA,1207-55918,RT,A,U,391,1300,25.5,32.4,215,1992-11-08T11:45:00Z
35,11,8,1992,13:30,NA,1207-55919,RT,A,U,413,1500,26.5,31.3,219,1992-11-08T13:30:00Z
36,11,13,1992,10:45,NA,987-53707,RT,A,U,371,1080,25.3,27.2,198,1992-11-13T10:45:00Z
37,11,16,1992,11:15,NA,1207-55920,RT,A,U,385,1320,27.3,30.1,207,1992-11-16T11:15:00Z
38,11,21,1992,14:00,NA,877-76337,RT,A,U,378,1490,25.4,31.3,204,1992-11-21T14:00:00Z
