CODMES;efecto_pandemia;efecto_crisi2008;Morosidad_prct;PIB;PIB_vartri;PIB_varanual;PIB_lag3;PIB_lag6;PIB_lag9;PIB_lag12;TasaParo_prct;Tasaparo_vartri;Tasaparo_varanual;Tasaparo_lag3;Tasaparo_lag6;Tasaparo_lag9;Tasaparo_lag12;IPC;IPC_var_mensual;IPC_vartri;IPC_varanual;IPC_lag3;IPC_lag6;IPC_lag9;IPC_lag12;Precio_avg_m2viviendas;Precio_avg_m2viviendas_vartri;Precio_avg_m2viviendas_varanual;Precio_avg_m2viviendas_lag3;Precio_avg_m2viviendas_lag6;Precio_avg_m2viviendas_lag9;Precio_avg_m2viviendas_lag12;Precio_vivienda_x_Rentabrutahogar;Precio_vivienda_x_Rentabrutahogar_vartri;Precio_vivienda_x_Rentabrutahogar_varanual;Precio_vivienda_x_Rentabrutahogar_lag3;Precio_vivienda_x_Rentabrutahogar_lag6;Precio_vivienda_x_Rentabrutahogar_lag9;Precio_vivienda_x_Rentabrutahogar_lag12;Tipo_cambio_EUR_USD;Tipo_cambio_EUR_USD_vartri;Tipo_cambio_EUR_USD_varanual;Tipo_cambio_EUR_USD_lag3;Tipo_cambio_EUR_USD_lag6;Tipo_cambio_EUR_USD_lag9;Tipo_cambio_EUR_USD_lag12;Renta_dispo_hogares_mm;Renta_dispo_hogares_mm_vartri;Renta_dispo_hogares_mm_varanual;Renta_dispo_hogares_mm_lag3;Renta_dispo_hogares_mm_lag6;Renta_dispo_hogares_mm_lag9;Renta_dispo_hogares_mm_lag12
2010_01;0;1;5,31;99,98;-0,02;0,16;100;100,03;99,82;99,82;19,84;6,32;15,08;18,66;17,75;17,77;17,24;91,8;-1,5;0,64;0,66;92,7;91,9;92,3;91,2;1865,7;-1,41;-4,72;1892,3;1896,8;1920,9;1958,1;8,67;-0,57;0,35;8,72;8,57;8,6;8,64;1,4272;-3,67;7,8;1,4816;1,4088;1,319;1,32;157478;-14,34;1,77;183842;161612;186909;154738
2010_02;0;1;5,4;99,98;-0,02;0,16;100;100,03;99,82;99,82;19,84;6,32;15,08;18,66;17,75;17,77;17,24;91,6;-0,22;0,64;0,44;93,2;92,3;92,2;91,2;1865,7;-1,41;-4,72;1892,3;1896,8;1920,9;1958,1;8,67;-0,57;0,35;8,72;8,57;8,6;8,64;1,3686;-8,23;7,05;1,4914;1,4268;1,365;1,28;157478;-14,34;1,77;183842;161612;186909;154738
2010_03;0;1;5,33;99,98;-0,02;0,16;100;100,03;99,82;99,82;19,84;6,32;15,08;18,66;17,75;17,77;17,24;93,8;2,4;0,64;2,63;93,2;92,1;92,7;91,4;1865,7;-1,41;-4,72;1892,3;1896,8;1920,9;1958,1;8,67;-0,57;0,35;8,72;8,57;8,6;8,64;1,3569;-7,15;3,98;1,4614;1,4562;1,4016;1,31;157478;-14,34;1,77;183842;161612;186909;154738
2010_04;0;1;5,49;100,13;0,15;0,31;99,98;100;100,03;99,82;19,89;0,25;11,93;19,84;18,66;17,75;17,77;94,5;0,75;0,85;2,38;91,8;92,7;91,9;92,3;1848,9;-0,9;-3,75;1865,7;1892,3;1896,8;1920,9;8,77;1,15;1,98;8,67;8,72;8,57;8,6;1,3406;-6,07;1,64;1,4272;1,4816;1,4088;1,32;187501;19,06;0,32;157478;183842;161612;186909
2010_05;0;1;5,5;100,13;0,15;0,31;99,98;100;100,03;99,82;19,89;0,25;11,93;19,84;18,66;17,75;17,77;94,5;0;0,85;2,49;91,6;93,2;92,3;92,2;1848,9;-0,9;-3,75;1865,7;1892,3;1896,8;1920,9;8,77;1,15;1,98;8,67;8,72;8,57;8,6;1,2565;-8,19;-7,95;1,3686;1,4914;1,4268;1,37;187501;19,06;0,32;157478;183842;161612;186909
2010_06;0;1;5,35;100,13;0,15;0,31;99,98;100;100,03;99,82;19,89;0,25;11,93;19,84;18,66;17,75;17,77;94,6;0,11;0,85;2,05;93,8;93,2;92,1;92,7;1848,9;-0,9;-3,75;1865,7;1892,3;1896,8;1920,9;8,77;1,15;1,98;8,67;8,72;8,57;8,6;1,2209;-10,02;-12,89;1,3569;1,4614;1,4562;1,4;187501;19,06;0,32;157478;183842;161612;186909
2010_07;0;1;5,48;100,08;-0,05;0,05;100,13;99,98;100;100,03;19,59;-1,51;10,37;19,89;19,84;18,66;17,75;93,5;-1,16;0;1,74;94,5;91,8;92,7;91,9;1832;-0,91;-3,42;1848,9;1865,7;1892,3;1896,8;8,61;-1,82;0,47;8,77;8,67;8,72;8,57;1,277;-4,74;-9,36;1,3406;1,4272;1,4816;1,41;161024;-14,12;-0,36;187501;157478;183842;161612
2010_08;0;1;5,64;100,08;-0,05;0,05;100,13;99,98;100;100,03;19,59;-1,51;10,37;19,89;19,84;18,66;17,75;93,8;0,32;0;1,63;94,5;91,6;93,2;92,3;1832;-0,91;-3,42;1848,9;1865,7;1892,3;1896,8;8,61;-1,82;0,47;8,77;8,67;8,72;8,57;1,2894;2,62;-9,63;1,2565;1,3686;1,4914;1,43;161024;-14,12;-0,36;187501;157478;183842;161612
2010_09;0;1;5,51;100,08;-0,05;0,05;100,13;99,98;100;100,03;19,59;-1,51;10,37;19,89;19,84;18,66;17,75;94,6;0,85;0;2,71;94,6;93,8;93,2;92,1;1832;-0,91;-3,42;1848,9;1865,7;1892,3;1896,8;8,61;-1,82;0,47;8,77;8,67;8,72;8,57;1,3067;7,03;-10,27;1,2209;1,3569;1,4614;1,46;161024;-14,12;-0,36;187501;157478;183842;161612
2010_10;0;1;5,68;100,14;0,06;0,14;100,08;100,13;99,98;100;20,11;2,65;7,77;19,59;19,89;19,84;18,66;95;0,42;1,37;2,48;93,5;94,5;91,8;92,7;1825,5;-0,35;-3,53;1832;1848,9;1865,7;1892,3;8,71;1,16;-0,11;8,61;8,77;8,67;8,72;1,3898;8,83;-6,2;1,277;1,3406;1,4272;1,48;184321;14,47;0,26;161024;187501;157478;183842
