ID Empleado,Edad,Género,Estado civil,Nivel educativo,Especialización,Años trabajando,Compañías empleadoras,Departamento,Cargo,Banda laboral,Sede,Frecuencia de viajes,Distancia al hogar,Ingresos mensuales,Nivel de stock options,Horas extraordinarias,Sesiones de formación,Años en la empresa,Años en el cargo,Años sin promocionar,Años con el mismo jefe,% Incremento salarial,Rendimiento,Satisfacción con el trabajo,Satisfacción con el ambiente,Satisfacción con las relaciones,Nivel de involucración,Balance de la vida laboral,Estado de la relación laboral,Tipo de desvinculación,Razón de la desvinculación
ECU-0001,41.0,Femenino,Soltero,2,Ciencias de la vida,8,8,Ventas,Ejecutivo de ventas,2,Madrid,Viajes ocasionales,1,5993,0,Sí,0,6,4,0,5,11,3,4,2,1,3,1,Finalizada,Voluntaria,Dimisión
ECU-0002,49.0,Masculino,Casado,1,Ciencias de la vida,10,1,Investigación y desarrollo,Investigador,2,Bilbao,Viajes frecuentes,8,5130,1,No,3,10,7,1,7,23,4,2,3,4,2,3,Activa,,
ECU-0003,37.0,Masculino,Soltero,2,Otras,7,6,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,2,2090,0,Sí,3,0,0,0,0,15,3,3,4,2,2,3,Finalizada,Voluntaria,Dimisión
ECU-0004,33.0,Femenino,Casado,4,Ciencias de la vida,8,1,Investigación y desarrollo,Investigador,1,Barcelona,Viajes frecuentes,3,2909,0,Sí,3,8,7,3,0,11,3,3,4,3,3,3,Activa,,
ECU-0005,27.0,Masculino,Casado,1,Medicina,6,9,Investigación y desarrollo,Técnico de laboratorio,1,Madrid,Viajes ocasionales,2,3468,1,No,3,2,2,2,2,12,3,2,1,4,3,3,Activa,,
ECU-0006,32.0,Masculino,Soltero,2,Ciencias de la vida,8,0,Investigación y desarrollo,Técnico de laboratorio,1,Madrid,Viajes frecuentes,2,30687,0,No,2,7,7,3,6,13,3,4,4,3,3,2,Activa,,
ECU-0007,59.0,Femenino,Casado,3,Medicina,12,4,Investigación y desarrollo,Técnico de laboratorio,1,Barcelona,Viajes ocasionales,3,2670,3,Sí,3,1,0,0,0,20,4,1,3,1,4,2,Activa,,
ECU-0008,30.0,Masculino,Divorciado,1,Ciencias de la vida,1,1,Investigación y desarrollo,Técnico de laboratorio,1,Barcelona,Viajes ocasionales,24,2693,1,No,2,1,0,0,0,22,4,3,4,2,3,3,Activa,,
ECU-0009,38.0,Masculino,Soltero,3,Ciencias de la vida,10,0,Investigación y desarrollo,Director de fabricación,3,Bilbao,Viajes frecuentes,23,9526,0,No,2,9,7,1,8,21,4,3,4,2,2,3,Activa,,
ECU-0010,36.0,Masculino,Casado,3,Medicina,17,6,Investigación y desarrollo,Representante sanitario,2,Bilbao,Viajes ocasionales,27,5237,2,No,3,7,7,7,7,13,3,3,3,2,3,2,Activa,,
ECU-0011,35.0,Masculino,Casado,3,Medicina,6,0,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,16,2426,1,No,5,5,4,0,3,13,3,2,1,3,4,3,Activa,,
ECU-0012,29.0,Femenino,Soltero,2,Ciencias de la vida,10,0,Investigación y desarrollo,Técnico de laboratorio,2,Madrid,Viajes ocasionales,15,4193,0,Sí,3,9,5,0,8,12,3,3,4,4,2,3,Activa,,
ECU-0013,31.0,Masculino,Divorciado,1,Ciencias de la vida,5,1,Investigación y desarrollo,Investigador,1,Bilbao,Viajes ocasionales,26,2911,1,No,1,5,2,4,3,17,3,3,1,4,3,2,Activa,,
ECU-0014,34.0,Masculino,Divorciado,2,Medicina,3,0,Investigación y desarrollo,Técnico de laboratorio,1,Bilbao,Viajes ocasionales,19,2661,1,No,2,2,2,1,2,11,3,4,2,3,3,3,Activa,,
