BC001_ID_Cliente,BC002_Edad,BC003_Genero,BC004_Estado_civil,BC005_Nivel_educativo,BC006_Segmento_socioeconomico,BC007_Ciudad_Zona,BC008_Antiguedad_meses,BC009_Canal_captacion,BC010_Tipo_cliente,BC011_Plan,BC012_Banda_valor_RFM,BC013_Frecuencia_compra,BC014_Num_pedidos_2024,BC015_Ticket_medio_EUR,BC016_Gasto_total_2024_EUR,BC017_Categoria_principal,BC018_Variedad_categorias,BC019_Pct_pedidos_descuento,BC020_Intensidad_descuento,BC021_Metodo_pago,BC022_Renovaciones_suscripcion,BC023_Dias_desde_ultima_compra,BC024_Tiempo_medio_entrega_dias,BC025_Retrasos_entrega_num,BC026_Incidencias_registradas_num,BC027_Contactos_atencion_num,BC028_Satisfaccion_entregas,BC029_Satisfaccion_plataforma,BC030_Estado_cliente,BC031_Tipo_abandono,BC032_Razon_abandono
VC000001,45,Femenino,Divorciado/a,1,Alto,Valencia,67,Referral,No suscripción,<no aplica>,3,Mensual,8,45,398,Bebés,5,54,3,Tarjeta,0,38,4,0,0,0,3.0,3.0,Activo,<no informado>,<no informado>
VC000002,37,Masculino,Casado/a,2,Bajo,Madrid,44,Orgánico,No suscripción,<no aplica>,3,Quincenal,12,34,391,Alimentación,5,61,3,Tarjeta,0,8,2,1,2,3,3.0,4.0,Activo,<no informado>,<no informado>
VC000003,47,Femenino,Casado/a,3,Medio,Madrid,32,Ads,No suscripción,<no aplica>,1,Ocasional,1,35,34,Otros,1,60,3,Tarjeta,0,246,3,0,0,0,2.0,4.0,Inactivo,Voluntario,Experiencia logística
VC000004,57,Masculino,Soltero/a,2,Medio,Valencia,48,Ads,No suscripción,<no aplica>,5,Semanal,46,59,3085,Hogar,9,49,2,Contra reembolso,0,3,2,0,2,2,4.0,4.0,Activo,<no informado>,<no informado>
VC000005,36,Femenino,Divorciado/a,2,Medio,Valencia,43,Marketplace,No suscripción,<no aplica>,4,Mensual,14,32,544,Alimentación,6,27,2,Tarjeta,0,27,2,2,2,3,3.0,4.0,Activo,<no informado>,<no informado>
VC000006,36,Femenino,Soltero/a,4,Bajo,Valencia,25,Ads,No suscripción,<no aplica>,3,Mensual,11,38,390,Cuidado personal,5,47,2,Tarjeta,0,31,3,1,0,2,2.0,4.0,Activo,<no informado>,<no informado>
VC000007,58,Masculino,Soltero/a,3,Medio,Barcelona,22,Ads,No suscripción,<no aplica>,1,Ocasional,1,29,31,Cuidado personal,1,83,3,Tarjeta,0,8,2,0,0,0,4.0,4.0,Activo,<no informado>,<no informado>
VC000008,48,Femenino,Soltero/a,2,Medio,Madrid,49,Referral,No suscripción,<no aplica>,4,Quincenal,21,28,613,Alimentación,4,64,3,Tarjeta,0,18,4,2,0,1,3.0,2.0,Activo,<no informado>,<no informado>
VC000009,33,Femenino,Soltero/a,4,Bajo,Madrid,30,Orgánico,No suscripción,<no aplica>,5,Semanal,29,40,1396,Bebés,6,36,2,Tarjeta,0,8,3,2,2,3,2.0,4.0,Activo,<no informado>,<no informado>
VC000010,46,Masculino,Viudo/a,3,Medio,Barcelona,26,Orgánico,No suscripción,<no aplica>,2,Ocasional,3,40,117,Otros,2,23,2,Transferencia,0,61,3,0,0,0,2.0,4.0,Activo,<no informado>,<no informado>
VC000011,33,Femenino,Casado/a,1,Medio,Barcelona,29,Orgánico,No suscripción,<no aplica>,5,Quincenal,19,43,912,Alimentación,5,40,2,PayPal,0,17,1,1,0,1,4.0,3.0,Activo,<no informado>,<no informado>
VC000012,33,Prefiere no decirlo,Casado/a,2,Medio,Madrid,18,Orgánico,No suscripción,<no aplica>,2,Ocasional,3,42,113,Otros,4,35,2,Tarjeta,0,51,1,0,0,0,4.0,4.0,Activo,<no informado>,<no informado>
VC000013,42,Masculino,Viudo/a,2,Bajo,Barcelona,48,Orgánico,No suscripción,<no aplica>,3,Mensual,10,37,343,Otros,5,36,2,Tarjeta,0,44,2,0,0,0,4.0,3.0,Activo,<no informado>,<no informado>
